Timestamp,Milliseconds,X,Y,Z
2020-01-07 17:37:37,0,21.48,0.24,-39.84
2020-01-07 17:37:37,100,21.3,-0.29999998,-39.42
2020-01-07 17:37:37,200,21.96,1.0799999,-38.46
2020-01-07 17:37:37,300,21.6,-0.17999999,-38.76
2020-01-07 17:37:37,400,21.779999,0.06,-39.0
2020-01-07 17:37:37,501,22.439999,-0.12,-38.879997
2020-01-07 17:37:37,600,24.9,-0.35999998,-35.28
2020-01-07 17:37:38,700,23.1,-0.24,-37.26
2020-01-07 17:37:38,800,23.46,-0.29999998,-37.38
2020-01-07 17:37:38,900,23.16,-0.17999999,-38.7
2020-01-07 17:37:38,1000,21.96,0.17999999,-38.76
2020-01-07 17:37:38,1100,22.56,0.59999996,-37.8
2020-01-07 17:37:38,1200,23.4,0.06,-38.82
2020-01-07 17:37:38,1300,22.5,0.0,-38.879997
2020-01-07 17:37:38,1400,23.519999,0.24,-37.98
2020-01-07 17:37:38,1501,23.22,0.06,-38.28
2020-01-07 17:37:38,1600,22.26,0.35999998,-38.76
2020-01-07 17:37:39,1700,22.859999,0.96,-37.38
2020-01-07 17:37:39,1800,21.96,0.96,-38.52
2020-01-07 17:37:39,1900,22.02,0.65999997,-38.219997
2020-01-07 17:37:39,2000,22.26,0.42,-38.16
2020-01-07 17:37:39,2100,23.34,0.53999996,-37.62
2020-01-07 17:37:39,2200,22.32,0.29999998,-38.7
2020-01-07 17:37:39,2300,22.74,0.24,-38.34
2020-01-07 17:37:39,2400,23.46,0.48,-37.32
2020-01-07 17:37:39,2501,22.08,1.02,-39.12
2020-01-07 17:37:39,2600,21.779999,0.29999998,-39.059998
2020-01-07 17:37:40,2700,22.199999,0.06,-37.98
2020-01-07 17:37:40,2800,21.48,0.48,-38.879997
2020-01-07 17:37:40,2900,21.84,0.48,-39.42
2020-01-07 17:37:40,3000,22.859999,0.29999998,-37.8
2020-01-07 17:37:40,3101,21.9,0.35999998,-38.76
2020-01-07 17:37:40,3200,21.48,1.02,-39.059998
2020-01-07 17:37:40,3300,21.9,0.53999996,-38.28
2020-01-07 17:37:40,3400,21.18,0.17999999,-39.12
2020-01-07 17:37:40,3500,21.6,0.24,-39.66
2020-01-07 17:37:40,3600,22.08,0.17999999,-38.16
2020-01-07 17:37:41,3700,21.84,0.17999999,-38.16
2020-01-07 17:37:41,3800,22.02,0.48,-39.36
2020-01-07 17:37:41,3901,21.779999,0.65999997,-38.879997
2020-01-07 17:37:41,4000,22.56,0.0,-37.98
2020-01-07 17:37:41,4100,21.6,0.29999998,-39.36
2020-01-07 17:37:41,4200,22.32,0.24,-38.64
2020-01-07 17:37:41,4300,23.039999,-0.06,-37.8
2020-01-07 17:37:41,4400,21.72,-0.24,-38.64
2020-01-07 17:37:41,4500,21.42,1.68,-39.18
2020-01-07 17:37:41,4600,22.38,1.86,-39.3
2020-01-07 17:37:42,4700,22.08,1.56,-38.94
2020-01-07 17:37:42,4801,22.26,1.1999999,-38.399998
2020-01-07 17:37:42,4900,22.38,1.5,-38.219997
2020-01-07 17:37:42,5000,21.3,0.35999998,-39.0
2020-01-07 17:37:42,5100,22.619999,0.35999998,-38.28
2020-01-07 17:37:42,5200,22.26,0.24,-38.879997
2020-01-07 17:37:42,5301,21.84,0.24,-38.52
2020-01-07 17:37:42,5400,22.26,0.71999997,-38.7
2020-01-07 17:37:42,5500,22.619999,1.14,-38.399998
2020-01-07 17:37:42,5600,22.199999,0.35999998,-39.0
2020-01-07 17:37:43,5700,22.439999,0.29999998,-38.28
2020-01-07 17:37:43,5800,25.68,-0.71999997,-36.18
2020-01-07 17:37:43,5900,22.619999,-0.06,-38.399998
2020-01-07 17:37:43,6001,22.859999,-1.02,-39.0
2020-01-07 17:37:43,6100,22.98,-0.59999996,-38.46
2020-01-07 17:37:43,6200,22.08,0.06,-39.6
2020-01-07 17:37:43,6300,21.96,0.78,-40.14
2020-01-07 17:37:43,6400,21.9,0.48,-40.02
2020-01-07 17:37:43,6500,20.58,0.53999996,-40.02
2020-01-07 17:37:43,6600,20.52,1.1999999,-40.559998
2020-01-07 17:37:44,6701,20.64,0.84,-40.2
2020-01-07 17:37:44,6800,20.64,0.53999996,-40.5
2020-01-07 17:37:44,6900,20.939999,0.9,-40.5
2020-01-07 17:37:44,7000,21.06,0.17999999,-39.78
2020-01-07 17:37:44,7100,21.06,0.48,-40.02
2020-01-07 17:37:44,7200,20.76,0.84,-40.559998
2020-01-07 17:37:44,7300,21.24,0.59999996,-39.84
2020-01-07 17:37:44,7400,21.24,0.06,-40.32
2020-01-07 17:37:44,7500,20.58,1.14,-40.62
2020-01-07 17:37:44,7601,21.18,0.96,-40.02
2020-01-07 17:37:45,7700,21.48,0.42,-39.18
2020-01-07 17:37:45,7800,21.18,0.59999996,-39.059998
2020-01-07 17:37:45,7900,20.46,1.0799999,-40.02
2020-01-07 17:37:45,8000,20.58,0.9,-40.44
2020-01-07 17:37:45,8100,21.0,1.5,-40.26
2020-01-07 17:37:45,8200,20.88,0.84,-39.84
2020-01-07 17:37:45,8301,21.119999,0.42,-39.42
2020-01-07 17:37:45,8400,20.46,1.14,-39.84
2020-01-07 17:37:45,8500,20.4,1.5,-40.26
2020-01-07 17:37:45,8600,21.18,0.9,-39.42
2020-01-07 17:37:46,8700,21.96,0.78,-38.46
2020-01-07 17:37:46,8800,22.32,0.35999998,-39.12
2020-01-07 17:37:46,8900,21.24,0.9,-40.26
2020-01-07 17:37:46,9000,20.64,1.68,-40.32
2020-01-07 17:37:46,9100,21.48,1.0799999,-38.879997
2020-01-07 17:37:46,9200,21.779999,0.65999997,-38.1
2020-01-07 17:37:46,9301,20.58,1.38,-40.68
2020-01-07 17:37:46,9400,20.939999,0.96,-40.14
2020-01-07 17:37:46,9500,20.16,1.5,-40.44
2020-01-07 17:37:46,9600,20.16,1.4399999,-39.84
2020-01-07 17:37:47,9700,19.859999,1.74,-40.26
2020-01-07 17:37:47,9800,21.18,0.9,-39.42
2020-01-07 17:37:47,9900,21.66,1.4399999,-39.18
2020-01-07 17:37:47,10000,20.16,1.68,-40.5
2020-01-07 17:37:47,10100,20.279999,1.8,-41.399998
2020-01-07 17:37:47,10201,19.98,1.8,-40.32
2020-01-07 17:37:47,10300,20.939999,1.56,-39.66
2020-01-07 17:37:47,10400,20.4,2.1,-40.68
2020-01-07 17:37:47,10500,20.82,1.8,-40.14
2020-01-07 17:37:47,10600,20.58,1.5,-40.079998
2020-01-07 17:37:48,10700,21.3,1.14,-40.379997
2020-01-07 17:37:48,10800,20.4,1.02,-40.2
2020-01-07 17:37:48,10900,20.46,1.1999999,-39.84
2020-01-07 17:37:48,11001,22.26,0.53999996,-39.12
2020-01-07 17:37:48,11100,27.06,5.22,-35.94
2020-01-07 17:37:48,11200,21.96,3.24,-39.059998
2020-01-07 17:37:48,11300,17.58,1.9799999,-41.1
2020-01-07 17:37:48,11400,2.46,0.42,-45.719997
2020-01-07 17:37:48,11500,-22.74,2.76,-40.079998
2020-01-07 17:37:48,11600,-40.8,12.96,-22.74
2020-01-07 17:37:49,11700,-36.719997,22.619999,-20.16
2020-01-07 17:37:49,11801,-36.12,26.64,-18.779999
2020-01-07 17:37:49,11900,-35.579998,24.66,-18.06
2020-01-07 17:37:49,12000,-36.48,23.519999,-19.74
2020-01-07 17:37:49,12100,-35.46,22.26,-20.58
2020-01-07 17:37:49,12200,-39.66,15.179999,-16.8
2020-01-07 17:37:49,12300,-40.26,10.559999,-17.88
2020-01-07 17:37:49,12400,-38.879997,8.639999,-21.96
2020-01-07 17:37:49,12500,-35.7,7.56,-26.82
2020-01-07 17:37:49,12601,-31.859999,7.8599997,-29.88
2020-01-07 17:37:50,12700,-27.9,9.12,-33.66
2020-01-07 17:37:50,12800,-24.359999,6.42,-36.36
2020-01-07 17:37:50,12900,-23.82,7.3199997,-37.079998
2020-01-07 17:37:50,13000,-28.08,9.96,-33.239998
2020-01-07 17:37:50,13100,-31.98,10.38,-29.88
2020-01-07 17:37:50,13200,-36.84,9.78,-25.38
2020-01-07 17:37:50,13301,-39.84,15.0,-18.0
2020-01-07 17:37:50,13400,-38.1,22.14,-16.14
2020-01-07 17:37:50,13500,-36.12,27.779999,-12.599999
2020-01-07 17:37:50,13600,-30.42,35.46,-9.96
2020-01-07 17:37:51,13700,-30.359999,36.12,-9.66
2020-01-07 17:37:51,13800,-23.82,40.44,-9.179999
2020-01-07 17:37:51,13900,-17.22,42.48,-11.34
2020-01-07 17:37:51,14001,-15.54,40.559998,-16.619999
2020-01-07 17:37:51,14100,-15.599999,37.92,-21.9
2020-01-07 17:37:51,14200,-11.46,35.88,-26.519999
2020-01-07 17:37:51,14300,-10.32,38.52,-22.68
2020-01-07 17:37:51,14400,-8.46,43.44,-14.34
2020-01-07 17:37:51,14500,-10.5,45.66,-11.04
2020-01-07 17:37:51,14600,-14.219999,47.46,-2.9399998
2020-01-07 17:37:52,14700,-7.2,47.16,-5.2799997
2020-01-07 17:37:52,14800,-9.84,47.879997,-5.46
2020-01-07 17:37:52,14901,-4.68,47.82,-6.3599997
2020-01-07 17:37:52,15000,0.06,45.78,-12.78
2020-01-07 17:37:52,15100,2.7,41.28,-22.08
2020-01-07 17:37:52,15200,6.66,37.86,-26.46
2020-01-07 17:37:52,15300,8.82,38.04,-26.16
2020-01-07 17:37:52,15401,6.48,43.86,-14.04
2020-01-07 17:37:52,15500,-0.12,48.0,-5.2799997
2020-01-07 17:37:52,15600,-6.24,48.12,0.12
2020-01-07 17:37:53,15700,-5.2799997,48.6,1.02
2020-01-07 17:37:53,15800,-6.3599997,48.78,-1.4399999
2020-01-07 17:37:53,15900,-8.28,48.48,-1.68
2020-01-07 17:37:53,16000,-4.38,47.52,-7.08
2020-01-07 17:37:53,16100,-1.74,45.12,-16.38
2020-01-07 17:37:53,16201,3.72,40.379997,-24.18
2020-01-07 17:37:53,16302,8.46,37.2,-26.939999
2020-01-07 17:37:53,16400,9.179999,38.399998,-24.24
2020-01-07 17:37:53,16500,4.8599997,45.059998,-14.639999
2020-01-07 17:37:53,16601,-1.0799999,48.18,-6.3599997
2020-01-07 17:37:54,16700,-6.12,49.079998,-0.12
2020-01-07 17:37:54,16800,-5.3399997,47.7,-4.62
2020-01-07 17:37:54,16900,-5.8199997,48.18,-2.22
2020-01-07 17:37:54,17000,-6.96,48.12,-1.86
2020-01-07 17:37:54,17100,-3.06,46.2,-11.46
2020-01-07 17:37:54,17200,2.52,42.18,-20.52
2020-01-07 17:37:54,17301,8.58,37.559998,-25.019999
2020-01-07 17:37:54,17400,10.0199995,36.36,-27.359999
2020-01-07 17:37:54,17500,8.46,42.78,-18.779999
2020-01-07 17:37:54,17600,1.86,46.68,-9.059999
2020-01-07 17:37:55,17701,-7.14,48.36,-1.9799999
2020-01-07 17:37:55,17800,-8.099999,48.6,-0.12
2020-01-07 17:37:55,17900,-4.74,48.78,0.35999998
2020-01-07 17:37:55,18000,-8.16,48.719997,-1.5
2020-01-07 17:37:55,18101,-5.22,48.12,-8.16
2020-01-07 17:37:55,18200,-0.59999996,44.52,-17.52
2020-01-07 17:37:55,18301,4.02,40.079998,-24.42
2020-01-07 17:37:55,18400,8.4,37.26,-26.939999
2020-01-07 17:37:55,18500,10.08,39.6,-22.619999
2020-01-07 17:37:55,18600,5.3399997,45.42,-12.599999
2020-01-07 17:37:56,18700,-1.02,48.66,-6.18
2020-01-07 17:37:56,18801,-6.6,48.96,-0.35999998
2020-01-07 17:37:56,18900,-3.8999999,47.46,-5.58
2020-01-07 17:37:56,19000,-5.8199997,48.239998,-3.4199998
2020-01-07 17:37:56,19100,-6.6,47.579998,-5.3399997
2020-01-07 17:37:56,19200,-3.06,46.14,-14.639999
2020-01-07 17:37:56,19300,2.7,42.18,-21.9
2020-01-07 17:37:56,19400,8.5199995,37.44,-27.539999
2020-01-07 17:37:56,19501,10.679999,36.36,-27.96
2020-01-07 17:37:56,19600,8.28,43.02,-18.539999
2020-01-07 17:37:57,19700,1.56,46.86,-9.48
2020-01-07 17:37:57,19800,-5.22,48.78,-2.46
2020-01-07 17:37:57,19900,-5.3399997,49.32,-0.48
2020-01-07 17:37:57,20000,-4.3199997,48.66,-3.1799998
2020-01-07 17:37:57,20100,-6.42,48.84,-2.28
2020-01-07 17:37:57,20200,-2.76,46.559998,-9.059999
2020-01-07 17:37:57,20301,6.24,41.82,-13.08
2020-01-07 17:37:57,20400,6.8399997,39.54,-24.9
2020-01-07 17:37:57,20500,10.32,35.88,-28.92
2020-01-07 17:37:57,20600,10.26,39.54,-24.06
2020-01-07 17:37:58,20700,6.24,46.559998,-13.5
2020-01-07 17:37:58,20800,-0.48,48.899998,-5.8799996
2020-01-07 17:37:58,20900,-5.3399997,49.5,-1.68
2020-01-07 17:37:58,21001,-2.1,48.84,-6.8399997
2020-01-07 17:37:58,21100,-5.4,49.32,-2.76
2020-01-07 17:37:58,21200,-1.86,48.6,-8.7
2020-01-07 17:37:58,21300,2.7,44.579998,-18.66
2020-01-07 17:37:58,21401,9.24,40.379997,-24.18
2020-01-07 17:37:58,21500,12.96,35.28,-28.38
2020-01-07 17:37:58,21600,14.099999,37.26,-26.46
2020-01-07 17:37:59,21700,10.679999,44.82,-15.599999
2020-01-07 17:37:59,21800,5.4,48.18,-7.08
2020-01-07 17:37:59,21900,0.71999997,50.1,0.84
2020-01-07 17:37:59,22000,2.1599998,50.039997,-3.1799998
2020-01-07 17:37:59,22100,1.1999999,49.26,-1.14
2020-01-07 17:37:59,22201,0.84,48.66,-1.86
2020-01-07 17:37:59,22300,4.62,46.5,-13.44
2020-01-07 17:37:59,22400,9.36,41.579998,-21.0
2020-01-07 17:37:59,22500,12.059999,37.44,-25.68
2020-01-07 17:37:59,22600,14.219999,36.66,-25.5
2020-01-07 17:38:00,22700,12.059999,41.879997,-17.1
2020-01-07 17:38:00,22800,6.3599997,46.379997,-7.02
2020-01-07 17:38:00,22901,0.9,48.42,-0.29999998
2020-01-07 17:38:00,23000,-1.14,48.719997,0.65999997
2020-01-07 17:38:00,23100,1.4399999,47.579998,-4.02
2020-01-07 17:38:00,23200,-0.9,48.3,-2.82
2020-01-07 17:38:00,23300,4.44,46.68,-8.5199995
2020-01-07 17:38:00,23401,7.8599997,42.12,-17.16
2020-01-07 17:38:00,23501,12.36,38.04,-24.84
2020-01-07 17:38:00,23600,15.48,33.3,-28.439999
2020-01-07 17:38:01,23703,16.14,35.579998,-25.619999
2020-01-07 17:38:01,23800,13.98,43.5,-12.059999
2020-01-07 17:38:01,23900,6.0,48.18,-5.8199997
2020-01-07 17:38:01,24000,1.56,47.16,1.14
2020-01-07 17:38:01,24100,4.2,48.78,-7.2
2020-01-07 17:38:01,24200,1.9799999,48.96,-3.0
2020-01-07 17:38:01,24300,-0.9,48.96,-6.0
2020-01-07 17:38:01,24401,4.08,45.539997,-16.56
2020-01-07 17:38:01,24500,10.2,40.739998,-21.84
2020-01-07 17:38:01,24600,13.5,35.76,-28.08
2020-01-07 17:38:02,24700,16.26,34.5,-28.68
2020-01-07 17:38:02,24800,15.78,41.76,-17.64
2020-01-07 17:38:02,24900,11.58,47.28,-7.2
2020-01-07 17:38:02,25000,3.9599998,48.96,-2.22
2020-01-07 17:38:02,25100,3.78,48.899998,1.02
2020-01-07 17:38:02,25201,5.16,48.84,-5.8199997
2020-01-07 17:38:02,25300,1.56,49.2,-4.7999997
2020-01-07 17:38:02,25400,7.08,46.8,-11.4
2020-01-07 17:38:02,25500,10.38,42.78,-19.859999
2020-01-07 17:38:02,25600,14.58,38.16,-26.099998
2020-01-07 17:38:03,25700,17.699999,35.1,-27.0
2020-01-07 17:38:03,25801,18.6,38.399998,-21.66
2020-01-07 17:38:03,25900,13.98,45.96,-12.179999
2020-01-07 17:38:03,26000,6.72,49.92,-2.6399999
2020-01-07 17:38:03,26100,3.8999999,49.8,2.04
2020-01-07 17:38:03,26200,6.8999996,49.44,-6.54
2020-01-07 17:38:03,26300,3.72,50.1,-3.06
2020-01-07 17:38:03,26400,6.06,49.26,-4.5
2020-01-07 17:38:03,26501,8.639999,46.02,-15.54
2020-01-07 17:38:03,26600,14.219999,41.04,-22.92
2020-01-07 17:38:04,26700,19.68,36.6,-26.22
2020-01-07 17:38:04,26800,20.76,35.88,-25.74
2020-01-07 17:38:04,26900,18.72,43.44,-14.82
2020-01-07 17:38:04,27000,12.66,48.78,-2.76
2020-01-07 17:38:04,27100,5.7,50.46,3.4199998
2020-01-07 17:38:04,27201,5.7,50.94,-1.26
2020-01-07 17:38:04,27300,7.5,50.28,-2.6399999
2020-01-07 17:38:04,27400,3.36,51.12,-1.0799999
2020-01-07 17:38:04,27500,8.28,48.36,-11.04
2020-01-07 17:38:04,27600,11.94,45.12,-18.539999
2020-01-07 17:38:05,27702,18.66,40.26,-23.64
2020-01-07 17:38:05,27800,20.039999,36.78,-27.0
2020-01-07 17:38:05,27900,20.279999,41.28,-20.58
2020-01-07 17:38:05,28001,15.24,48.059998,-7.98
2020-01-07 17:38:05,28100,9.599999,48.66,4.8599997
2020-01-07 17:38:05,28200,5.2799997,51.3,6.42
2020-01-07 17:38:05,28300,6.54,51.0,-5.1
2020-01-07 17:38:05,28400,3.84,51.18,-2.58
2020-01-07 17:38:05,28500,5.1,51.3,-3.8999999
2020-01-07 17:38:05,28600,8.94,47.34,-14.7
2020-01-07 17:38:06,28701,13.5,42.6,-21.0
2020-01-07 17:38:06,28800,18.3,38.46,-26.099998
2020-01-07 17:38:06,28900,19.68,38.579998,-24.539999
2020-01-07 17:38:06,29000,15.54,45.66,-11.04
2020-01-07 17:38:06,29100,7.74,50.219997,-1.56
2020-01-07 17:38:06,29200,3.36,49.68,5.3399997
2020-01-07 17:38:06,29300,10.139999,48.18,6.3599997
2020-01-07 17:38:06,29401,5.2799997,48.96,1.3199999
2020-01-07 17:38:06,29500,3.54,50.1,-0.53999996
2020-01-07 17:38:06,29600,9.96,46.26,-6.3599997
2020-01-07 17:38:07,29700,12.24,43.86,-17.46
2020-01-07 17:38:07,29800,16.859999,38.82,-21.84
2020-01-07 17:38:07,29900,19.26,37.2,-23.82
2020-01-07 17:38:07,30000,16.74,41.579998,-14.04
2020-01-07 17:38:07,30101,11.46,46.8,-2.8799999
2020-01-07 17:38:07,30200,4.68,48.48,3.6599998
2020-01-07 17:38:07,30300,5.1,47.579998,5.04
2020-01-07 17:38:07,30400,6.66,47.219997,-0.71999997
2020-01-07 17:38:07,30500,3.48,47.34,-0.71999997
2020-01-07 17:38:07,30600,7.68,46.14,-6.72
2020-01-07 17:38:08,30700,11.16,42.48,-15.24
2020-01-07 17:38:08,30801,15.839999,38.1,-19.02
2020-01-07 17:38:08,30900,19.439999,35.1,-20.58
2020-01-07 17:38:08,31000,20.279999,36.12,-18.539999
2020-01-07 17:38:08,31100,16.68,42.48,-5.58
2020-01-07 17:38:08,31200,8.22,45.96,1.68
2020-01-07 17:38:08,31301,6.0,44.879997,7.2599998
2020-01-07 17:38:08,31400,9.96,45.719997,-0.42
2020-01-07 17:38:08,31500,8.46,45.36,1.62
2020-01-07 17:38:08,31600,7.7999997,45.78,-0.96
2020-01-07 17:38:09,31700,11.639999,42.899998,-10.92
2020-01-07 17:38:09,31800,16.68,39.0,-15.839999
2020-01-07 17:38:09,31900,19.199999,35.94,-19.859999
2020-01-07 17:38:09,32001,20.82,33.36,-19.92
2020-01-07 17:38:09,32100,19.68,39.6,-10.26
2020-01-07 17:38:09,32200,13.44,43.98,-1.26
2020-01-07 17:38:09,32300,9.059999,46.2,6.72
2020-01-07 17:38:09,32400,10.0199995,45.78,3.8999999
2020-01-07 17:38:09,32500,12.3,45.12,2.3999999
2020-01-07 17:38:09,32600,12.059999,46.559998,2.7
2020-01-07 17:38:10,32701,14.7,42.96,-4.8599997
2020-01-07 17:38:10,32800,17.76,41.28,-12.96
2020-01-07 17:38:10,32900,20.82,36.719997,-16.98
2020-01-07 17:38:10,33000,23.64,34.26,-19.26
2020-01-07 17:38:10,33100,23.519999,38.1,-13.44
2020-01-07 17:38:10,33200,17.76,42.66,-1.26
2020-01-07 17:38:10,33300,12.66,45.48,6.2999997
2020-01-07 17:38:10,33400,9.42,46.14,7.5
2020-01-07 17:38:10,33501,13.92,45.539997,-0.17999999
2020-01-07 17:38:10,33600,10.559999,46.02,1.74
2020-01-07 17:38:11,33700,12.179999,45.48,-2.58
2020-01-07 17:38:11,33800,13.98,43.32,-10.8
2020-01-07 17:38:11,33900,19.98,37.5,-14.88
2020-01-07 17:38:11,34000,23.699999,33.899998,-16.5
2020-01-07 17:38:11,34100,25.98,34.079998,-18.06
2020-01-07 17:38:11,34200,21.84,39.84,-9.66
2020-01-07 17:38:11,34301,14.28,45.36,-1.9799999
2020-01-07 17:38:11,34400,8.58,46.739998,3.9599998
2020-01-07 17:38:11,34500,8.94,46.86,2.58
2020-01-07 17:38:11,34600,11.5199995,46.079998,-0.53999996
2020-01-07 17:38:12,34700,8.04,47.76,-2.46
2020-01-07 17:38:12,34800,11.639999,45.539997,-8.099999
2020-01-07 17:38:12,34900,14.46,42.66,-15.179999
2020-01-07 17:38:12,35000,17.94,38.28,-21.42
2020-01-07 17:38:12,35101,21.9,34.2,-22.68
2020-01-07 17:38:12,35200,22.32,35.7,-19.5
2020-01-07 17:38:12,35300,16.38,43.559998,-7.02
2020-01-07 17:38:12,35400,9.179999,47.34,0.48
2020-01-07 17:38:12,35500,6.6,47.579998,4.44
2020-01-07 17:38:12,35600,8.94,46.98,-2.34
2020-01-07 17:38:13,35700,6.54,47.82,-2.1
2020-01-07 17:38:13,35800,6.48,47.16,-5.2799997
2020-01-07 17:38:13,35900,10.679999,44.46,-14.46
2020-01-07 17:38:13,36001,15.48,39.54,-20.82
2020-01-07 17:38:13,36100,17.94,36.059998,-23.699999
2020-01-07 17:38:13,36200,20.46,35.16,-25.019999
2020-01-07 17:38:13,36300,18.84,41.34,-16.02
2020-01-07 17:38:13,36401,11.58,46.559998,-4.68
2020-01-07 17:38:13,36500,7.44,47.94,3.6599998
2020-01-07 17:38:13,36600,8.4,48.12,4.5
2020-01-07 17:38:14,36700,10.2,47.46,1.74
2020-01-07 17:38:14,36800,8.04,48.12,0.96
2020-01-07 17:38:14,36900,11.28,46.739998,-6.06
2020-01-07 17:38:14,37000,13.5,44.16,-12.9
2020-01-07 17:38:14,37100,18.42,39.6,-17.4
2020-01-07 17:38:14,37201,21.24,35.28,-21.66
2020-01-07 17:38:14,37300,22.98,36.18,-20.279999
2020-01-07 17:38:14,37400,18.66,43.079998,-7.2
2020-01-07 17:38:14,37500,11.759999,47.16,2.1
2020-01-07 17:38:14,37600,7.2599998,47.579998,6.8999996
2020-01-07 17:38:15,37700,8.7,47.34,1.56
2020-01-07 17:38:15,37800,8.82,47.52,1.68
2020-01-07 17:38:15,37900,5.7,47.76,-1.0799999
2020-01-07 17:38:15,38001,10.26,45.719997,-8.639999
2020-01-07 17:38:15,38100,13.799999,41.16,-16.68
2020-01-07 17:38:15,38200,18.3,36.899998,-21.3
2020-01-07 17:38:15,38300,21.3,34.14,-22.619999
2020-01-07 17:38:15,38400,20.46,38.16,-18.48
2020-01-07 17:38:15,38500,15.059999,45.0,-5.94
2020-01-07 17:38:15,38600,8.04,46.98,3.12
2020-01-07 17:38:16,38701,5.7,47.28,6.2999997
2020-01-07 17:38:16,38800,8.04,47.219997,-2.58
2020-01-07 17:38:16,38900,5.8799996,47.76,-1.3199999
2020-01-07 17:38:16,39000,6.48,46.379997,-3.8999999
2020-01-07 17:38:16,39100,9.42,44.28,-14.759999
2020-01-07 17:38:16,39200,15.059999,40.2,-20.76
2020-01-07 17:38:16,39301,18.06,35.82,-23.939999
2020-01-07 17:38:16,39400,19.619999,35.34,-22.859999
2020-01-07 17:38:16,39500,16.32,43.079998,-12.179999
2020-01-07 17:38:16,39600,10.44,46.86,-2.28
2020-01-07 17:38:17,39700,5.8199997,48.539997,4.74
2020-01-07 17:38:17,39800,7.9199996,47.16,1.1999999
